scenario,vus,rep,started_at_epoch,duration_s,metric1,metric2,metric3,metric4,metric5,mysql_target_registrations,mysql_overlap_registrations,dlq_depth,drain_wait_s,status
macro,3000,1,1787073393,36,50,200,14750,0,0,50,0,0,0,ok
overlap,3000,1,1787073431,23,3000,3000,0,,,3000,0,0,1,ok
