scenario,vus,rep,started_at_epoch,duration_s,metric1,metric2,metric3,metric4,metric5,mysql_target_registrations,mysql_overlap_registrations,dlq_depth,drain_wait_s,status
macro,12000,1,1787074314,120,49,47,23705,36199,8822,50,0,0,0,ok
overlap,12000,1,1787074438,48,12000,0,,,,0,0,0,0,ok
