scenario,vus,rep,started_at_epoch,duration_s,metric1,metric2,metric3,metric4,metric5,mysql_target_registrations,mysql_overlap_registrations,dlq_depth,drain_wait_s,status
macro,12000,1,1787075010,66,50,49,18231,5670,4248,50,0,0,0,ok
overlap,12000,1,1787075079,42,12000,0,,,,0,0,0,0,ok
